cycle_id,machine_id,recorded_at,temperature,temperature_unit,vibration_mm_s,requires_inspection,inspection_completed
C000,M00,2026-01-01T00:00:00+00:00,317.7,K,,0,0
C001,M00,2026-01-01T01:00:00+00:00,28.6,degC,0.563,0,0
C002,M00,2026-01-01T02:00:00+00:00,51.19,degC,1.412,0,0
C003,M00,2026-01-01T03:00:00+00:00,57.05,degC,2.581,0,0
C004,M00,2026-01-01T04:00:00+00:00,53.16,degC,4.089,1,1
C005,M00,2026-01-01T05:00:00+00:00,55.35,degC,0.825,0,0
C006,M01,2026-01-01T06:00:00+00:00,67.72,degC,3.82,1,1
C007,M01,2026-01-01T07:00:00+00:00,65.13,degC,0.529,0,0
C008,M01,2026-01-01T08:00:00+00:00,39.78,degC,3.302,0,0
C009,M01,2026-01-01T09:00:00+00:00,49.14,degC,2.688,0,0
C010,M01,2026-01-01T10:00:00+00:00,48.83,degC,1.811,0,0
C011,M01,2026-01-01T11:00:00+00:00,323.96,K,0.989,0,0
C012,M02,2026-01-01T12:00:00+00:00,43.78,degC,2.535,0,0
C013,M02,2026-01-01T13:00:00+00:00,47.96,degC,,0,0
C014,M02,2026-01-01T14:00:00+00:00,65.11,degC,3.902,1,1
C015,M02,2026-01-01T15:00:00+00:00,51.19,degC,1.847,0,0
C016,M02,2026-01-01T16:00:00+00:00,56.78,degC,2.943,1,1
C017,M02,2026-01-01T17:00:00+00:00,-999,degC,3.697,0,0
C018,M03,2026-01-01T18:00:00+00:00,60.87,degC,0.807,0,0
C019,M03,2026-01-01T19:00:00+00:00,72.6,degC,3.8,0,0
C020,M03,2026-01-01T20:00:00+00:00,57.35,degC,0.219,0,0
C021,M03,2026-01-01T21:00:00+00:00,58.59,degC,4.344,1,1
C022,M03,2026-01-01T22:00:00+00:00,344.06,K,1.774,1,1
C023,M03,2026-01-01T23:00:00+00:00,65.7,degC,2.145,1,1
C024,M04,2026-01-02T00:00:00+00:00,46.46,degC,3.007,0,0
C025,M04,2026-01-02T01:00:00+00:00,30.39,degC,4.422,0,0
C026,M04,2026-01-02T02:00:00+00:00,44.47,degC,,0,0
C027,M04,2026-01-02T03:00:00+00:00,55.78,degC,0.588,0,0
C028,M04,2026-01-02T04:00:00+00:00,54.23,degC,3.7,1,1
C029,M04,2026-01-02T05:00:00+00:00,46.45,degC,0.638,0,0
C030,M05,2026-01-02T06:00:00+00:00,38.54,degC,1.413,0,0
C031,M05,2026-01-02T07:00:00+00:00,43.64,degC,4.197,0,0
C032,M05,2026-01-02T08:00:00+00:00,57.99,degC,2.849,0,0
C033,M05,2026-01-02T09:00:00+00:00,330.67,K,2.482,0,0
C034,M05,2026-01-02T10:00:00+00:00,68.11,degC,1.288,0,0
C035,M05,2026-01-02T11:00:00+00:00,50.25,degC,4.499,1,1
C036,M06,2026-01-02T12:00:00+00:00,54.35,degC,3.472,1,1
C037,M06,2026-01-02T13:00:00+00:00,63.86,degC,0.521,0,0
C038,M06,2026-01-02T14:00:00+00:00,65.85,degC,0.378,1,1
C039,M06,2026-01-02T15:00:00+00:00,61.11,degC,,1,1
C040,M06,2026-01-02T16:00:00+00:00,66.23,degC,0.145,0,0
C041,M06,2026-01-02T17:00:00+00:00,79.47,degC,0.232,1,1
C042,M07,2026-01-02T18:00:00+00:00,38.75,degC,3.998,0,0
C043,M07,2026-01-02T19:00:00+00:00,41.92,degC,0.542,0,0
C044,M07,2026-01-02T20:00:00+00:00,337.3,K,2.585,1,1
C045,M07,2026-01-02T21:00:00+00:00,55.46,degC,1.81,0,0
C046,M07,2026-01-02T22:00:00+00:00,46.42,degC,2.248,0,0
C047,M07,2026-01-02T23:00:00+00:00,51.0,degC,1.986,0,0
C048,M08,2026-01-03T00:00:00+00:00,32.93,degC,1.12,0,0
C049,M08,2026-01-03T01:00:00+00:00,58.24,degC,1.757,0,0
C050,M08,2026-01-03T02:00:00+00:00,57.65,degC,1.415,1,1
C051,M08,2026-01-03T03:00:00+00:00,37.89,degC,2.248,0,0
C052,M08,2026-01-03T04:00:00+00:00,66.02,degC,,0,0
C053,M08,2026-01-03T05:00:00+00:00,59.47,degC,3.506,1,1
C054,M09,2026-01-03T06:00:00+00:00,47.24,degC,4.467,1,1
C055,M09,2026-01-03T07:00:00+00:00,316.25,K,0.194,0,0
C056,M09,2026-01-03T08:00:00+00:00,53.86,degC,2.221,0,0
C057,M09,2026-01-03T09:00:00+00:00,35.33,degC,2.524,0,0
C058,M09,2026-01-03T10:00:00+00:00,61.08,degC,3.439,1,1
C059,M09,2026-01-03T11:00:00+00:00,45.18,degC,3.928,1,1
C060,M10,2026-01-03T12:00:00+00:00,46.36,degC,3.253,1,1
C061,M10,2026-01-03T13:00:00+00:00,41.78,degC,2.139,0,0
C062,M10,2026-01-03T14:00:00+00:00,43.9,degC,0.653,0,0
C063,M10,2026-01-03T15:00:00+00:00,61.89,degC,0.472,0,0
C064,M10,2026-01-03T16:00:00+00:00,45.08,degC,1.824,0,0
C065,M10,2026-01-03T17:00:00+00:00,52.94,degC,,0,0
C066,M11,2026-01-03T18:00:00+00:00,309.71,K,4.032,0,0
C067,M11,2026-01-03T19:00:00+00:00,65.35,degC,4.268,0,0
C068,M11,2026-01-03T20:00:00+00:00,37.9,degC,1.269,0,0
C069,M11,2026-01-03T21:00:00+00:00,52.84,degC,2.122,0,0
C070,M11,2026-01-03T22:00:00+00:00,62.2,degC,2.888,1,1
C071,M11,2026-01-03T23:00:00+00:00,41.45,degC,1.089,0,0
C072,M12,2026-01-04T00:00:00+00:00,64.6,degC,3.027,1,1
C073,M12,2026-01-04T01:00:00+00:00,52.69,degC,0.467,0,0
C074,M12,2026-01-04T02:00:00+00:00,51.07,degC,0.924,0,0
C075,M12,2026-01-04T03:00:00+00:00,52.01,degC,0.841,0,0
C076,M12,2026-01-04T04:00:00+00:00,52.24,degC,0.61,0,0
C077,M12,2026-01-04T05:00:00+00:00,313.27,K,3.568,0,0
C078,M13,2026-01-04T06:00:00+00:00,56.62,degC,,1,1
C079,M13,2026-01-04T07:00:00+00:00,74.91,degC,4.355,1,1
C080,M13,2026-01-04T08:00:00+00:00,52.22,degC,2.383,1,1
C081,M13,2026-01-04T09:00:00+00:00,49.82,degC,2.592,0,0
C082,M13,2026-01-04T10:00:00+00:00,39.45,degC,3.814,0,0
C083,M13,2026-01-04T11:00:00+00:00,49.9,degC,1.566,0,0
C084,M14,2026-01-04T12:00:00+00:00,48.93,degC,0.561,0,0
C085,M14,2026-01-04T13:00:00+00:00,38.05,degC,1.218,0,0
C086,M14,2026-01-04T14:00:00+00:00,56.95,degC,1.959,0,0
C087,M14,2026-01-04T15:00:00+00:00,57.47,degC,4.076,1,1
C088,M14,2026-01-04T16:00:00+00:00,329.02,K,4.036,0,0
C089,M14,2026-01-04T17:00:00+00:00,52.34,degC,2.802,0,0
C090,M15,2026-01-04T18:00:00+00:00,52.48,degC,1.093,0,0
C091,M15,2026-01-04T19:00:00+00:00,64.07,degC,,1,1
C092,M15,2026-01-04T20:00:00+00:00,18.67,degC,2.132,0,0
C093,M15,2026-01-04T21:00:00+00:00,59.31,degC,0.777,0,0
C094,M15,2026-01-04T22:00:00+00:00,58.67,degC,1.689,0,0
C095,M15,2026-01-04T23:00:00+00:00,43.62,degC,1.273,0,0
C096,M16,2026-01-05T00:00:00+00:00,46.15,degC,0.395,0,0
C097,M16,2026-01-05T01:00:00+00:00,61.17,degC,0.268,0,0
C098,M16,2026-01-05T02:00:00+00:00,57.6,degC,4.256,0,0
C099,M16,2026-01-05T03:00:00+00:00,330.82,K,2.519,0,0
C100,M16,2026-01-05T04:00:00+00:00,49.97,degC,1.451,0,0
