sample_id,site_id,collected_at,instrument_batch,concentration,concentration_unit,water_temperature_c,review_required,post_review_flag,workflow_status
E000,S00,2026-01-01T00:00:00+00:00,B0,43.4,ug/L,18.48,0,0,cleared
E001,S00,2026-01-01T03:00:00+00:00,B1,0.1701,mg/L,14.19,1,1,reviewed
E002,S00,2026-01-01T06:00:00+00:00,B2,0.0318,mg/L,,0,0,cleared
E003,S00,2026-01-01T09:00:00+00:00,B3,0.0679,mg/L,16.54,0,0,cleared
E004,S00,2026-01-01T12:00:00+00:00,B0,0.16,mg/L,15.51,1,1,reviewed
E005,S00,2026-01-01T15:00:00+00:00,B1,0.0277,mg/L,17.42,0,0,cleared
E006,S00,2026-01-01T18:00:00+00:00,B2,0.0594,mg/L,,0,0,cleared
E007,S00,2026-01-01T21:00:00+00:00,B3,0.1775,mg/L,23.53,1,1,reviewed
E008,S01,2026-01-02T00:00:00+00:00,B0,0.0951,mg/L,14.03,0,0,cleared
E009,S01,2026-01-02T03:00:00+00:00,B1,175.9,ug/L,25.55,1,1,reviewed
E010,S01,2026-01-02T06:00:00+00:00,B2,0.0956,mg/L,,0,0,cleared
E011,S01,2026-01-02T09:00:00+00:00,B3,0.0339,mg/L,15.06,0,0,cleared
E012,S01,2026-01-02T12:00:00+00:00,B0,0.0718,mg/L,16.77,0,0,cleared
E013,S01,2026-01-02T15:00:00+00:00,B1,0.187,mg/L,16.63,1,1,reviewed
E014,S01,2026-01-02T18:00:00+00:00,B2,0.0365,mg/L,,0,0,cleared
E015,S01,2026-01-02T21:00:00+00:00,B3,0.0668,mg/L,13.87,0,0,cleared
E016,S02,2026-01-03T00:00:00+00:00,B0,0.1105,mg/L,11.52,0,0,cleared
E017,S02,2026-01-03T03:00:00+00:00,B1,0.1602,mg/L,17.77,1,1,reviewed
E018,S02,2026-01-03T06:00:00+00:00,B2,173.7,ug/L,,1,1,reviewed
E019,S02,2026-01-03T09:00:00+00:00,B3,0.1358,mg/L,21.19,1,1,reviewed
E020,S02,2026-01-03T12:00:00+00:00,B0,0.1864,mg/L,13.83,1,1,reviewed
E021,S02,2026-01-03T15:00:00+00:00,B1,0.0708,mg/L,13.07,0,0,cleared
E022,S02,2026-01-03T18:00:00+00:00,B2,0.1699,mg/L,,1,1,reviewed
E023,S02,2026-01-03T21:00:00+00:00,B3,0.1381,mg/L,10.69,1,1,reviewed
E024,S03,2026-01-04T00:00:00+00:00,B0,0.0405,mg/L,15.35,0,0,cleared
E025,S03,2026-01-04T03:00:00+00:00,B1,0.0787,mg/L,17.66,0,0,cleared
E026,S03,2026-01-04T06:00:00+00:00,B2,0.0845,mg/L,,0,0,cleared
E027,S03,2026-01-04T09:00:00+00:00,B3,152.0,ug/L,21.58,1,1,reviewed
E028,S03,2026-01-04T12:00:00+00:00,B0,0.0385,mg/L,17.33,0,0,cleared
E029,S03,2026-01-04T15:00:00+00:00,B1,0.0342,mg/L,16.16,0,0,cleared
E030,S03,2026-01-04T18:00:00+00:00,B2,0.0581,mg/L,,0,0,cleared
E031,S03,2026-01-04T21:00:00+00:00,B3,0.1262,mg/L,16.13,0,0,cleared
E032,S04,2026-01-05T00:00:00+00:00,B0,0.0774,mg/L,20.97,1,1,reviewed
E033,S04,2026-01-05T03:00:00+00:00,B1,0.1155,mg/L,11.31,0,0,cleared
E034,S04,2026-01-05T06:00:00+00:00,B2,0.1221,mg/L,,1,1,reviewed
E035,S04,2026-01-05T09:00:00+00:00,B3,0.0387,mg/L,8.95,0,0,cleared
E036,S04,2026-01-05T12:00:00+00:00,B0,64.1,ug/L,29.59,0,0,cleared
E037,S04,2026-01-05T15:00:00+00:00,B1,0.1633,mg/L,19.41,1,1,reviewed
E038,S04,2026-01-05T18:00:00+00:00,B2,0.0304,mg/L,,0,0,cleared
E039,S04,2026-01-05T21:00:00+00:00,B3,0.0404,mg/L,16.14,0,0,cleared
E040,S05,2026-01-06T00:00:00+00:00,B0,0.0633,mg/L,21.24,0,0,cleared
E041,S05,2026-01-06T03:00:00+00:00,B1,0.1344,mg/L,13.8,0,0,cleared
E042,S05,2026-01-06T06:00:00+00:00,B2,0.0216,mg/L,,0,0,cleared
E043,S05,2026-01-06T09:00:00+00:00,B3,0.088,mg/L,15.24,0,0,cleared
E044,S05,2026-01-06T12:00:00+00:00,B0,0.185,mg/L,14.1,1,1,reviewed
E045,S05,2026-01-06T15:00:00+00:00,B1,77.4,ug/L,23.41,0,0,cleared
E046,S05,2026-01-06T18:00:00+00:00,B2,0.137,mg/L,,1,1,reviewed
E047,S05,2026-01-06T21:00:00+00:00,B3,0.1083,mg/L,22.91,0,0,cleared
E048,S06,2026-01-07T00:00:00+00:00,B0,0.0175,mg/L,12.62,0,0,cleared
E049,S06,2026-01-07T03:00:00+00:00,B1,0.1805,mg/L,16.68,1,1,reviewed
E050,S06,2026-01-07T06:00:00+00:00,B2,0.1373,mg/L,,1,1,reviewed
E051,S06,2026-01-07T09:00:00+00:00,B3,0.1716,mg/L,18.2,1,1,reviewed
E052,S06,2026-01-07T12:00:00+00:00,B0,0.0882,mg/L,15.38,0,0,cleared
E053,S06,2026-01-07T15:00:00+00:00,B1,0.1611,mg/L,11.16,1,1,reviewed
E054,S06,2026-01-07T18:00:00+00:00,B2,165.6,ug/L,,1,1,reviewed
E055,S06,2026-01-07T21:00:00+00:00,B3,0.1402,mg/L,10.84,0,0,cleared
E056,S07,2026-01-08T00:00:00+00:00,B0,0.0343,mg/L,15.1,0,0,cleared
E057,S07,2026-01-08T03:00:00+00:00,B1,0.1121,mg/L,22.45,0,0,cleared
E058,S07,2026-01-08T06:00:00+00:00,B2,0.1518,mg/L,,1,1,reviewed
E059,S07,2026-01-08T09:00:00+00:00,B3,0.0165,mg/L,13.47,0,0,cleared
E060,S07,2026-01-08T12:00:00+00:00,B0,0.1308,mg/L,15.46,1,1,reviewed
E061,S07,2026-01-08T15:00:00+00:00,B1,0.035,mg/L,17.39,0,0,cleared
E062,S07,2026-01-08T18:00:00+00:00,B2,0.0862,mg/L,,0,0,cleared
E063,S07,2026-01-08T21:00:00+00:00,B3,98.6,ug/L,17.23,0,0,cleared
E064,S08,2026-01-09T00:00:00+00:00,B0,0.1899,mg/L,11.44,1,1,reviewed
E065,S08,2026-01-09T03:00:00+00:00,B1,0.0413,mg/L,18.07,0,0,cleared
E066,S08,2026-01-09T06:00:00+00:00,B2,0.0986,mg/L,,1,1,reviewed
E067,S08,2026-01-09T09:00:00+00:00,B3,0.0867,mg/L,17.71,0,0,cleared
E068,S08,2026-01-09T12:00:00+00:00,B0,0.0801,mg/L,18.93,1,1,reviewed
E069,S08,2026-01-09T15:00:00+00:00,B1,0.0791,mg/L,22.21,0,0,cleared
E070,S08,2026-01-09T18:00:00+00:00,B2,0.0857,mg/L,,1,1,reviewed
E071,S08,2026-01-09T21:00:00+00:00,B3,0.0456,mg/L,14.33,0,0,cleared
E072,S09,2026-01-10T00:00:00+00:00,B0,142.8,ug/L,21.11,1,1,reviewed
E073,S09,2026-01-10T03:00:00+00:00,B1,0.1607,mg/L,18.58,1,1,reviewed
E074,S09,2026-01-10T06:00:00+00:00,B2,0.111,mg/L,,0,0,cleared
E075,S09,2026-01-10T09:00:00+00:00,B3,0.0739,mg/L,13.54,0,0,cleared
E076,S09,2026-01-10T12:00:00+00:00,B0,0.0474,mg/L,13.32,0,0,cleared
E077,S09,2026-01-10T15:00:00+00:00,B1,0.0773,mg/L,11.64,0,0,cleared
E078,S09,2026-01-10T18:00:00+00:00,B2,0.1855,mg/L,,1,1,reviewed
E079,S09,2026-01-10T21:00:00+00:00,B3,0.1064,mg/L,24.44,1,1,reviewed
E080,S10,2026-01-11T00:00:00+00:00,B0,0.1176,mg/L,18.84,1,1,reviewed
E081,S10,2026-01-11T03:00:00+00:00,B1,119.0,ug/L,14.28,1,1,reviewed
E082,S10,2026-01-11T06:00:00+00:00,B2,0.1323,mg/L,,1,1,reviewed
E083,S10,2026-01-11T09:00:00+00:00,B3,0.113,mg/L,17.89,0,0,cleared
E084,S10,2026-01-11T12:00:00+00:00,B0,0.1164,mg/L,15.22,1,1,reviewed
E085,S10,2026-01-11T15:00:00+00:00,B1,0.1734,mg/L,24.1,1,1,reviewed
E086,S10,2026-01-11T18:00:00+00:00,B2,0.0379,mg/L,,0,0,cleared
E087,S10,2026-01-11T21:00:00+00:00,B3,0.0541,mg/L,18.28,0,0,cleared
E088,S11,2026-01-12T00:00:00+00:00,B0,0.1462,mg/L,16.13,1,1,reviewed
E089,S11,2026-01-12T03:00:00+00:00,B1,0.0706,mg/L,14.78,0,0,cleared
E090,S11,2026-01-12T06:00:00+00:00,B2,86.2,ug/L,,1,1,reviewed
E091,S11,2026-01-12T09:00:00+00:00,B3,0.1814,mg/L,12.47,1,1,reviewed
E092,S11,2026-01-12T12:00:00+00:00,B0,0.0496,mg/L,12.94,0,0,cleared
E093,S11,2026-01-12T15:00:00+00:00,B1,0.1058,mg/L,17.41,1,1,reviewed
E094,S11,2026-01-12T18:00:00+00:00,B2,0.1279,mg/L,,1,1,reviewed
E095,S11,2026-01-12T21:00:00+00:00,B3,0.0348,mg/L,16.98,0,0,cleared
E096,S12,2026-01-13T00:00:00+00:00,B0,0.1273,mg/L,17.53,1,1,reviewed
E097,S12,2026-01-13T03:00:00+00:00,B1,0.1324,mg/L,13.49,1,1,reviewed
E098,S12,2026-01-13T06:00:00+00:00,B2,0.0764,mg/L,,0,0,cleared
E099,S12,2026-01-13T09:00:00+00:00,B3,64.0,ug/L,13.6,0,0,cleared
E100,S12,2026-01-13T12:00:00+00:00,B0,0.0806,mg/L,16.58,0,0,cleared
E101,S12,2026-01-13T15:00:00+00:00,B1,0.0922,mg/L,16.82,0,0,cleared
E102,S12,2026-01-13T18:00:00+00:00,B2,0.1408,mg/L,,1,1,reviewed
E103,S12,2026-01-13T21:00:00+00:00,B3,0.1763,mg/L,12.41,1,1,reviewed
